timestamp,accX,accY,accZ,temperature,humidity
2980,-6112,4668,12672,26.9,57.1
2990,-6440,4948,12648,26.9,57.1
3000,-6468,5140,12588,26.9,57.1
3010,-6480,4904,12440,26.9,57.1
3020,-6420,5224,12432,26.8,57.1
3030,-5504,5296,13092,26.9,62.0
3040,-5604,4980,12548,27.0,69.6
3050,-5768,4784,13364,27.1,73.5
3060,-6164,5028,12676,27.2,75.1
3070,-6136,5004,12704,27.3,77.6
3080,-6332,5076,12560,27.3,77.5
3090,-6320,5228,12584,27.3,77.1
3100,-6312,5112,12648,27.3,76.8
3110,-6256,5044,12620,27.3,76.3
3120,-6244,5124,12632,27.3,75.9
3130,-6240,5140,12408,27.3,75.5
3140,-6288,5140,12544,27.3,74.6
3150,-6252,5268,12408,27.3,73.7
3160,-5932,4556,12796,27.3,69.4
3170,-5896,4536,12684,27.3,68.9
3180,-6032,4740,12716,27.3,68.5
3190,-5976,4364,12244,27.3,68.0
3200,-6056,4740,12712,27.3,67.6
3210,-6096,4832,12576,27.3,67.1
3220,-6124,4852,12724,27.3,66.6
3230,-6076,4796,12756,27.2,66.3
3240,-6120,4864,12808,27.2,66.0
3250,-6104,4832,12660,27.3,65.4
3260,-6144,4836,12800,27.3,65.1
3270,-6108,4836,12712,27.2,64.8
3280,-5980,4912,12680,27.2,64.4
3290,-6108,5024,12716,27.3,63.9
3300,-6088,4852,12752,27.2,63.7
3310,-6176,4784,12636,27.2,63.3
3320,-6136,4960,12848,27.2,63.0
3330,-6120,4828,12624,27.2,62.7
3340,-6116,4860,12656,27.2,62.5
3350,-6148,4864,12804,27.2,62.3
3360,-6124,4780,12592,27.2,62.0
3370,-6040,5000,12604,27.2,61.7
3380,-6392,5160,12968,27.2,61.4
3390,-6152,4828,12680,27.1,61.2
3400,-6164,4928,12756,27.2,61.1
3410,-6156,4824,12700,27.2,61.0
3420,-6036,4900,12748,27.1,60.8
3430,-6096,4712,12660,27.1,60.8
3440,-6204,4824,12624,27.2,60.5
3450,-6128,4864,12700,27.1,60.3
3460,-6204,4972,12732,27.1,60.1
3470,-6120,4864,12736,27.2,60.0
3480,-6032,4908,12836,27.1,59.9
3490,-6064,4988,12732,27.1,59.9
3500,-6120,4948,12624,27.1,59.8
3510,-6168,4952,12732,27.1,59.7
3520,-6048,4912,12620,27.1,59.7
3530,-6100,4872,12600,27.1,59.5
3540,-6056,4844,12516,27.1,59.5
3550,-6120,4940,12740,27.1,59.4
3560,-6100,4920,12660,27.1,59.3
3570,-6128,4876,12740,27.1,59.3
3580,-6168,4976,12648,27.1,59.2
3590,-6004,4908,12576,27.1,59.1
3600,-6244,4916,12636,27.1,59.0
3610,-6092,4928,12656,27.1,58.9
3620,-6200,4940,12716,27.1,58.9
3630,-6124,4892,12800,27.1,58.8
3640,-6056,4980,12580,27.1,58.7
3650,-6232,4956,12636,27.1,58.6
3660,-6216,4876,12592,27.1,58.6
3670,-6244,4912,12652,27.1,58.6
3680,-6012,4620,12500,27.1,58.6
3690,-6224,4924,12612,27.1,58.5
3700,-6140,4872,12768,27.0,58.5
3710,-6172,4956,12756,27.1,58.5
3720,-6136,4952,12760,27.1,58.4
3730,-6008,4504,12340,27.1,58.3
3740,-6156,4904,12600,27.0,58.2
3750,-6132,4996,12800,27.0,58.2
3760,-6176,4920,12632,27.0,58.2
3770,-6140,4944,12528,27.0,58.1
3780,-6132,4928,12696,27.0,58.1
3790,-6092,4872,12456,27.0,58.0
3800,-6204,4968,12532,27.0,58.0
3810,-6160,4912,12656,27.0,57.9
3820,-6112,4820,12644,27.0,57.9
3830,-6196,5044,12668,27.0,57.8
3840,-6092,4936,12748,27.0,57.8
3850,-6196,4940,12608,27.0,57.8
3860,-6144,4860,12792,27.0,57.8
3870,-6132,4884,12668,27.0,57.8
3880,-6104,4968,12724,27.0,57.8
3890,-6164,4948,12644,27.0,57.8
3900,-6184,4908,12588,27.0,57.7
3910,-6032,4856,12760,27.0,57.7
3920,-6176,4980,12720,27.0,57.7
3930,-6140,5036,12656,27.0,57.7
3940,-6136,4912,12740,27.0,57.6
3950,-6096,4952,12612,27.0,57.6
3960,-6068,4948,12636,26.9,57.7
3970,-6156,4908,12624,26.9,57.7
3980,-6120,4768,12648,26.9,57.7
3990,-6100,4948,12768,26.9,57.7
4000,-6280,4868,12624,26.9,57.7
4010,-6176,5024,12644,26.9,57.7
4020,-6184,4912,12588,26.9,57.4
4030,-6176,4864,12680,26.8,57.4
4040,-6212,5008,12584,26.9,57.4
4050,-6192,4884,12760,26.9,57.4
4060,-6220,4940,12644,26.9,57.4
4070,-6088,4904,12748,26.8,57.4
4080,-6152,4856,12700,26.9,57.4
4090,-6176,4848,12600,26.9,57.4
4100,-6152,4992,12576,26.8,57.4
4110,-6160,4976,12652,26.8,57.3
4120,-6008,4944,12604,26.9,57.3
4130,-6180,4888,12764,26.9,57.3
4140,-6272,4304,12784,26.9,57.3
4150,-6240,4600,12720,26.9,57.3
4160,-6212,4508,12664,26.9,57.3
4170,-6256,4764,12668,26.9,57.3
4180,-6204,4748,12620,26.9,57.3
4190,-6160,4744,12616,26.9,57.3
4200,-6164,4708,12748,26.9,57.3
4210,-6232,4636,12728,26.9,57.3
4220,-6236,4612,12640,26.9,57.2
4230,-6256,4632,12492,26.9,57.2
4240,-6324,4716,12624,26.9,57.2
4250,-6424,4948,12748,26.9,57.2
4260,-6308,4876,12620,26.9,57.2
4270,-6240,5012,12656,26.9,57.2
4280,-6272,4856,12680,27.0,57.1
4290,-6280,4836,12544,26.9,57.2
4300,-6380,4976,12536,27.0,57.8
4310,-6312,4808,12624,27.0,58.2
4320,-6300,4912,12656,27.0,58.9
4330,-6344,4836,12704,27.0,59.6
4340,-6268,4812,12688,27.1,60.5
4350,-6292,4748,12604,27.1,60.8
4360,-6388,4840,12624,27.1,61.1
4370,-6316,4836,12516,27.2,61.2
4380,-6328,4868,12484,27.2,61.4
4390,-6168,4840,12528,27.3,61.6
4400,-6268,4916,12668,27.3,61.4
4410,-6308,4824,12604,27.4,61.0
4420,-6320,4928,12552,27.3,60.5
4430,-6220,4784,12548,27.3,60.2
4440,-6236,4720,12628,27.3,59.7
4450,-6284,4780,12480,27.3,59.4
4460,-6200,4744,12800,27.4,59.1
4470,-6264,4716,12612,27.3,58.9
4480,-6228,4780,12780,27.4,58.8
4490,-6256,4832,12536,27.3,58.6
4500,-6240,4720,12560,27.3,58.4
4510,-6308,4656,12564,27.4,58.2
4520,-6144,4752,12612,27.3,58.0
4530,-6296,4776,12656,27.3,57.8
4540,-6228,4788,12528,27.3,57.7
4550,-6424,4816,12600,27.4,57.5
4560,-6128,4700,12588,27.3,57.4
4570,-6196,4776,12668,27.3,57.2
4580,-6288,4824,12676,27.3,57.1
4590,-6332,4772,12648,27.3,57.0
4600,-6280,4744,12716,27.3,56.9
4610,-6312,4804,12732,27.3,56.8
4620,-6272,4812,12612,27.3,56.7
4630,-6252,4844,12480,27.3,56.7
4640,-6120,4768,12564,27.3,56.6
